"class","theme","prompt","output"
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are living things? List some characteristics.","Living things are organisms that show signs of life. Characteristics include: growth reproduction respiration nutrition (need food) excretion (get rid of waste) response to stimuli (sensitivity) and movement."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the difference between living and non-living things?","Living things exhibit all or most characteristics of life (growth reproduction respiration etc.) while non-living things do not (e.g. chair stone water)."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are cells? Why are they called the basic unit of life?","Cells are the smallest structural and functional units of all living organisms. They are called the basic unit because all life functions occur within cells and all living things are made up of one or more cells."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the difference between unicellular and multicellular organisms? Give examples.","Unicellular organisms are made of a single cell that performs all life functions (e.g. Amoeba Paramecium bacteria). Multicellular organisms are made of many cells that are often organized into tissues organs and organ systems (e.g. humans plants insects)."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are the main parts of a plant?","The main parts of a typical plant are roots stem leaves flowers and fruits."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the function of roots?","Roots anchor the plant in the soil absorb water and minerals from the soil and sometimes store food."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the function of the stem?","The stem supports the plant (leaves flowers fruits) transports water and minerals from roots to leaves and transports food from leaves to other parts."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the function of leaves? What is photosynthesis?","Leaves are the primary site of photosynthesis the process where plants use sunlight water and carbon dioxide to create their own food (glucose) and release oxygen. Leaves also help in transpiration (loss of water vapour)."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are flowers? What is their main function?","Flowers are the reproductive parts of most plants. Their main function is reproduction leading to the formation of fruits and seeds."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is pollination? Name different ways it can happen.","Pollination is the transfer of pollen grains (containing male gametes) from the anther to the stigma of a flower. It can happen through wind water insects birds or other animals."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are nutrients? Why do living organisms need food?","Nutrients are substances in food that provide nourishment essential for growth energy maintenance and repair of the body. Organisms need food for energy growth and staying healthy."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","Name the main types of nutrients found in food.","The main types are carbohydrates fats (lipids) proteins vitamins minerals and water. Roughage (fibre) is also important."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is a balanced diet?","A balanced diet contains all the essential nutrients (carbohydrates fats proteins vitamins minerals water) in the right proportions needed for the body's proper functioning."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is respiration? Is it the same as breathing?","Respiration is the process by which living organisms release energy from food (glucose) usually by taking in oxygen and releasing carbon dioxide. Breathing is the physical process of inhaling oxygen and exhaling carbon dioxide which is part of respiration in many animals."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are sense organs? Name the five main sense organs in humans.","Sense organs help us perceive our surroundings. The five main sense organs are eyes (sight) ears (hearing) nose (smell) tongue (taste) and skin (touch)."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is habitat? Give examples.","A habitat is the natural home or environment where an organism (plant or animal) lives. Examples: Forest desert pond ocean."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What are adaptations? Give an example in a desert plant (cactus).","Adaptations are special features or characteristics that help an organism survive in its particular habitat. Example: Cacti have spines (modified leaves) to reduce water loss and protect from animals and fleshy stems to store water."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is excretion? Why is it necessary?","Excretion is the process of removing waste products from the body. It is necessary because the accumulation of waste products can be harmful or toxic to the organism."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","Name the main organs of the human digestive system.","Mouth oesophagus (food pipe) stomach small intestine large intestine rectum anus. Liver and pancreas are accessory digestive organs."
"Class 6-8","Introduction to Living Things Plants Animals Human Body","What is the function of the skeleton in our body?","The skeleton provides shape and support to the body protects internal organs (like brain heart lungs) allows movement (with muscles) and produces blood cells (in bone marrow)."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Describe the structure of a typical plant cell. Mention key organelles.","A plant cell typically has a cell wall (outermost layer provides rigidity) cell membrane cytoplasm a large central vacuole (stores water maintains turgor) nucleus (contains genetic material) chloroplasts (site of photosynthesis) mitochondria (site of respiration) ribosomes ER Golgi apparatus."
"Class 9-10","Cell Biology Tissues Diversity Health Life Processes Genetics Intro","Describe the structure of a typical animal cell. Mention key organelles.","An animal cell typically has a cell membrane (outermost layer) cytoplasm nucleus mitochondria ribosomes ER Golgi apparatus lysosomes and sometimes small vacuoles. It lacks a cell wall and chloroplasts."
