"class","theme","prompt","output"
"Class 6-8","Introduction to Matter and Changes","What is matter? Give examples.","Matter is anything that has mass and occupies space. Examples: book water air chair."
"Class 6-8","Introduction to Matter and Changes","What are the three main states of matter?","The three main states of matter are solid liquid and gas."
"Class 6-8","Introduction to Matter and Changes","Describe the properties of solids.","Solids have a definite shape and a definite volume. Their particles are tightly packed and vibrate in fixed positions."
"Class 6-8","Introduction to Matter and Changes","Describe the properties of liquids.","Liquids have a definite volume but no definite shape (they take the shape of the container). Their particles are close together but can move around."
"Class 6-8","Introduction to Matter and Changes","Describe the properties of gases.","Gases have no definite shape and no definite volume (they fill the container completely). Their particles are far apart and move randomly and rapidly."
"Class 6-8","Introduction to Matter and Changes","What is melting? Give an example.","Melting is the process where a solid changes into a liquid upon heating. Example: Ice melting into water."
"Class 6-8","Introduction to Matter and Changes","What is boiling or vaporization? Give an example.","Boiling/Vaporization is the process where a liquid changes into a gas (vapour) upon heating. Example: Water boiling to form steam."
"Class 6-8","Introduction to Matter and Changes","What is condensation? Give an example.","Condensation is the process where a gas changes into a liquid upon cooling. Example: Water vapour forming water droplets on a cold glass."
"Class 6-8","Introduction to Matter and Changes","What is freezing or solidification? Give an example.","Freezing/Solidification is the process where a liquid changes into a solid upon cooling. Example: Water freezing into ice."
"Class 6-8","Introduction to Matter and Changes","What is sublimation? Give an example.","Sublimation is the process where a solid changes directly into a gas without passing through the liquid state. Example: Dry ice (solid CO₂) turning into gaseous CO₂ or camphor heating up."
"Class 6-8","Introduction to Matter and Changes","What is the difference between a physical change and a chemical change?","A physical change alters the form or appearance of a substance but not its chemical composition (e.g. melting ice cutting paper). A chemical change results in the formation of new substances with different properties (e.g. burning wood rusting of iron)."
"Class 6-8","Introduction to Matter and Changes","Is burning paper a physical or chemical change? Why?","Burning paper is a chemical change because new substances like ash carbon dioxide and water vapour are formed and the original paper cannot be recovered easily."
"Class 6-8","Introduction to Matter and Changes","What is an element? Give examples.","An element is a pure substance consisting of only one type of atom which cannot be broken down into simpler substances by chemical means. Examples: Oxygen (O) Iron (Fe) Gold (Au) Hydrogen (H)."
"Class 6-8","Introduction to Matter and Changes","What is a compound? Give examples.","A compound is a pure substance formed when two or more different elements combine chemically in a fixed ratio. Examples: Water (H₂O - Hydrogen and Oxygen) Salt (NaCl - Sodium and Chlorine)."
"Class 6-8","Introduction to Matter and Changes","What is a mixture? Give examples.","A mixture consists of two or more substances (elements or compounds) that are mixed together physically but not chemically combined. They can usually be separated by physical means. Examples: Air (mixture of gases) Saltwater (salt dissolved in water) Sand and sugar."
"Class 6-8","Introduction to Matter and Changes","What is the chemical symbol for Oxygen? For Iron?","The chemical symbol for Oxygen is O. The chemical symbol for Iron is Fe."
"Class 6-8","Introduction to Matter and Changes","What is the chemical formula for water? What elements does it contain?","The chemical formula for water is H₂O. It contains the elements Hydrogen (H) and Oxygen (O)."
"Class 6-8","Introduction to Matter and Changes","What is air made of? Is it an element compound or mixture?","Air is primarily a mixture of gases mainly Nitrogen (approx. 78%) and Oxygen (approx. 21%) along with smaller amounts of Argon Carbon Dioxide and other gases."
"Class 6-8","Introduction to Matter and Changes","What is needed for rusting of iron?","Rusting of iron requires the presence of both oxygen (from air) and water (or water vapour)."
"Class 6-8","Introduction to Matter and Changes","How can we separate sand from water?","Sand can be separated from water by filtration (passing the mixture through a filter paper which allows water to pass but retains sand) or by decantation (allowing sand to settle and carefully pouring off the water)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are atoms? What are they made of?","Atoms are the basic building blocks of matter. They are made of subatomic particles: protons (positive charge) and neutrons (no charge) in the nucleus and electrons (negative charge) orbiting the nucleus."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is atomic number (Z)?","Atomic number (Z) of an element is the number of protons in the nucleus of an atom of that element. It defines the element."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is mass number (A)?","Mass number (A) is the total number of protons and neutrons in the nucleus of an atom. (A = number of protons + number of neutrons)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are isotopes? Give an example.","Isotopes are atoms of the same element (same atomic number Z) but with different mass numbers (A) meaning they have different numbers of neutrons. Example: Carbon-12 (⁶C¹²) and Carbon-14 (⁶C¹⁴)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are isobars? Give an example.","Isobars are atoms of different elements that have the same mass number (A) but different atomic numbers (Z). Example: Argon (¹⁸Ar⁴⁰) and Calcium (²⁰Ca⁴⁰)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Explain Bohr's model of the atom (briefly).","Bohr proposed that electrons revolve around the nucleus in specific fixed energy levels or shells (like K L M N). Electrons do not radiate energy while in these orbits but can jump between orbits by absorbing or emitting specific amounts of energy."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is valency? How is it determined?","Valency is the combining capacity of an element. It is often determined by the number of electrons an atom loses gains or shares to achieve a stable electron configuration (usually like a noble gas e.g. 8 electrons in the outermost shell - octet rule)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is an ion? Differentiate between cation and anion.","An ion is an atom or molecule that has gained or lost one or more electrons giving it a net positive or negative charge. A cation is a positively charged ion (formed by losing electrons e.g. Na⁺). An anion is a negatively charged ion (formed by gaining electrons e.g. Cl⁻)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is chemical bonding? Name the main types.","Chemical bonding is the force of attraction that holds atoms together in molecules or compounds. The main types are ionic bonding (transfer of electrons) and covalent bonding (sharing of electrons)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Explain ionic bonding with an example (e.g. NaCl).","Ionic bonding typically occurs between a metal and a non-metal. Electrons are transferred from the metal atom to the non-metal atom forming oppositely charged ions (cation and anion) which are held together by electrostatic attraction. Example: Sodium (Na) loses one electron to become Na⁺ Chlorine (Cl) gains one electron to become Cl⁻. The Na⁺ and Cl⁻ ions attract to form NaCl (Sodium Chloride)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Explain covalent bonding with an example (e.g. Cl₂ or H₂O).","Covalent bonding typically occurs between non-metal atoms. Atoms share one or more pairs of electrons to achieve stable electron configurations. Example: In Cl₂ each Cl atom shares one electron with the other to form a single covalent bond (Cl-Cl). In H₂O Oxygen shares one electron with each of the two Hydrogen atoms forming two single covalent bonds (H-O-H)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is the mole concept? What is Avogadro's number?","A mole is a unit representing a specific amount of substance. One mole of any substance contains Avogadro's number (approximately 6.022 × 10²³) of particles (atoms molecules ions etc.). The mass of one mole of a substance in grams is numerically equal to its atomic/molecular mass (molar mass)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is a chemical equation? Why does it need to be balanced?","A chemical equation uses symbols and formulas to represent a chemical reaction. It needs to be balanced to satisfy the Law of Conservation of Mass which states that matter cannot be created or destroyed in a chemical reaction (i.e. the number of atoms of each element must be the same on both the reactant and product sides)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Balance the equation: Mg + O₂ → MgO","2Mg + O₂ → 2MgO"
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Balance the equation: H₂ + Cl₂ → HCl","H₂ + Cl₂ → 2HCl"
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","Name different types of chemical reactions (e.g. combination decomposition).","Common types include: Combination (A + B → AB) Decomposition (AB → A + B) Displacement (A + BC → AC + B) Double Displacement (AB + CD → AD + CB) Combustion (reaction with oxygen often producing heat and light) Redox (involving oxidation and reduction)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is oxidation? What is reduction? (Classical definition)","Oxidation is the gain of oxygen or loss of hydrogen. Reduction is the loss of oxygen or gain of hydrogen. (More broadly: Oxidation is loss of electrons Reduction is gain of electrons - OIL RIG)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is a redox reaction? Give an example.","A redox reaction is a reaction where both oxidation and reduction occur simultaneously. Example: CuO + H₂ → Cu + H₂O (Here CuO is reduced to Cu and H₂ is oxidized to H₂O)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are acids? List some common properties.","Acids are substances that typically taste sour turn blue litmus paper red and release hydrogen ions (H⁺) when dissolved in water. Examples: Hydrochloric acid (HCl) Sulfuric acid (H₂SO₄) Acetic acid (CH₃COOH)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are bases? List some common properties.","Bases are substances that typically taste bitter feel soapy turn red litmus paper blue and release hydroxide ions (OH⁻) when dissolved in water. Examples: Sodium hydroxide (NaOH) Calcium hydroxide (Ca(OH)₂)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What is the pH scale? What does pH 7 mean?","The pH scale measures the acidity or alkalinity of a solution typically ranging from 0 to 14. pH < 7 indicates an acidic solution pH > 7 indicates a basic (alkaline) solution and pH = 7 indicates a neutral solution (like pure water)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What happens when an acid reacts with a base? What is this reaction called?","When an acid reacts with a base they neutralize each other forming salt and water. This is called a neutralization reaction. Example: HCl (acid) + NaOH (base) → NaCl (salt) + H₂O (water)."
"Class 9-10","Atomic Structure Bonding Reactions Acids/Bases Metals","What are salts? Give examples.","Salts are ionic compounds formed from the neutralization reaction between an acid and a base. They consist of a cation from the base and an anion from the acid. Examples: Sodium chloride (NaCl) Copper sulfate (CuSO₄) Sodium carbonate (Na₂CO₃)."
