class,theme,prompt,output
"Class 1-3","Foundational Literacy","What is the sound of the letter 'A'?","The letter 'A' can make sounds like 'a' in 'apple' (short 'a') or 'ay' in 'ape' (long 'a')."
"Class 1-3","Foundational Literacy","Can you name three colours?","Three colours are Red Blue and Green."
"Class 1-3","Foundational Literacy","What is the opposite of 'big'?","The opposite of 'big' is 'small' or 'little'."
"Class 1-3","Foundational Literacy","Point to the noun in this sentence: The cat sat on the mat.","The nouns are 'cat' and 'mat'. They are names of an animal and a thing."
"Class 1-3","Foundational Literacy","How do you spell 'dog'?","D-O-G spells 'dog'."
"Class 1-3","Foundational Literacy","What is a rhyming word for 'sun'?","Rhyming words for 'sun' include 'fun' 'run' 'bun'."
"Class 1-3","Foundational Literacy","Complete the sentence: I ___ happy.","I am happy."
"Class 1-3","Foundational Literacy","What do we call a baby cat?","A baby cat is called a kitten."
"Class 1-3","Foundational Literacy","Can you make a sentence using the word 'play'?","Children love to play in the park."
"Class 1-3","Foundational Literacy","What is the plural of 'book'?","The plural of 'book' is 'books'."
"Class 4-5","Grammar Basics & Comprehension","Identify the verb in the sentence: Ravi eats an apple.","The verb is 'eats'. It shows the action Ravi is doing."
"Class 4-5","Grammar Basics & Comprehension","What is the difference between 'is' 'am' and 'are'?","'Am' is used with 'I'. 'Is' is used with singular nouns/pronouns (he she it Ram). 'Are' is used with plural nouns/pronouns (we you they boys) and also with 'you' (singular)."
"Class 4-5","Grammar Basics & Comprehension","Write the past tense of 'go'.","The past tense of 'go' is 'went'."
"Class 4-5","Grammar Basics & Comprehension","What is an adjective? Give an example.","An adjective describes a noun. Example: In a red car 'red' is the adjective describing the 'car'."
"Class 4-5","Grammar Basics & Comprehension","Use 'a' or 'an': ___ elephant ___ table.","An elephant (because 'elephant' starts with a vowel sound) A table (because 'table' starts with a consonant sound)."
"Class 4-5","Grammar Basics & Comprehension","What is a pronoun? Replace the noun in Sita is singing. Sita is happy.","A pronoun replaces a noun. Sita is singing. She is happy. ('She' replaces 'Sita')."
"Class 4-5","Grammar Basics & Comprehension","Punctuate this sentence: where are you going","Where are you going? (Capital 'W' at the start and a question mark at the end)."
"Class 4-5","Grammar Basics & Comprehension","What is the main idea of a simple story about a thirsty crow?","The main idea is usually about using intelligence or cleverness to solve a problem (like the crow using pebbles to raise the water level). Where there is a will there is a way."
"Class 4-5","Grammar Basics & Comprehension","Write a sentence using the conjunction 'and'.","I like apples and bananas."
"Class 4-5","Grammar Basics & Comprehension","What is an adverb? Find it in The dog barked loudly.","An adverb describes a verb adjective or another adverb. Here 'loudly' is the adverb describing how the dog barked (verb)."
"Class 6-8","Tenses Sentence Structure Writing Skills","Explain the difference between simple present and present continuous tense.","Simple present (e.g. He plays cricket) describes habits facts or regular actions. Present continuous (e.g. He is playing cricket) describes actions happening right now or around the current time."
"Class 6-8","Tenses Sentence Structure Writing Skills","Change into passive voice: The teacher praised the student.","The student was praised by the teacher."
"Class 6-8","Tenses Sentence Structure Writing Skills","What are the three degrees of comparison for the adjective 'good'?","Positive: good Comparative: better Superlative: best."
"Class 6-8","Tenses Sentence Structure Writing Skills","Identify the subject and predicate: The beautiful bird sang sweetly.","Subject: The beautiful bird Predicate: sang sweetly. (The subject is who/what the sentence is about the predicate tells something about the subject)."
"Class 6-8","Tenses Sentence Structure Writing Skills","What is the difference between direct and indirect speech? Give an example.","Direct speech quotes the exact words spoken (e.g. Ram said I am busy.). Indirect speech reports what was said without quoting exactly (e.g. Ram said that he was busy.)."
"Class 6-8","Tenses Sentence Structure Writing Skills","Write a short paragraph on 'My Favourite Hobby'. (Sample response outline)","Start with introducing the hobby. Explain why you like it what you do and how it makes you feel. Conclude briefly. (e.g. My favourite hobby is reading books. I love exploring different worlds and characters. I usually read storybooks in the evening. Reading makes me feel relaxed and knowledgeable.)"
"Class 6-8","Tenses Sentence Structure Writing Skills","What is a preposition? Give examples.","A preposition shows the relationship between a noun/pronoun and other words in the sentence (often showing location time or direction). Examples: on in under above to from with before after."
"Class 6-8","Tenses Sentence Structure Writing Skills","Combine these sentences using 'because': He was late. He missed the bus.","He was late because he missed the bus."
"Class 6-8","Tenses Sentence Structure Writing Skills","What is the format of an informal letter? (e.g. to a friend)","Sender's address Date Salutation (e.g. Dear [Friend's Name]) Body (paragraphs) Closing (e.g. Yours lovingly) Sender's name."
"Class 6-8","Tenses Sentence Structure Writing Skills","Identify the type of sentence: What a beautiful painting!","This is an exclamatory sentence (expresses strong emotion)."
"Class 6-8","Tenses Sentence Structure Writing Skills","What is the future perfect tense? Give an example.","Future perfect tense describes an action that will be completed before a specific time in the future. Example: I will have finished my homework by 8 PM. (Uses 'will have' + past participle)."
"Class 6-8","Tenses Sentence Structure Writing Skills","Use the correct form of the verb: She (go) to school yesterday.","She went to school yesterday. (Simple past tense)."
"Class 6-8","Tenses Sentence Structure Writing Skills","What are synonyms and antonyms?","Synonyms are words with similar meanings (e.g. happy/joyful). Antonyms are words with opposite meanings (e.g. hot/cold)."
"Class 6-8","Tenses Sentence Structure Writing Skills","Explain what a clause is.","A clause is a group of words containing a subject and a verb. It can be independent (makes sense on its own like a simple sentence) or dependent (needs an independent clause to make complete sense)."
"Class 6-8","Tenses Sentence Structure Writing Skills","What is personification in poetry?","Personification is giving human qualities or abilities to inanimate objects or animals. Example: The wind whispered through the trees."
